backend,device,time,size
warp,cpu,0.004357033998530824,16384
torch,cpu,0.01882099499925971,16384
torch,cpu,0.01883370500036108,16384
torch,cpu,0.018858985000406392,16384
torch,cpu,0.018748604001302738,16384
torch,cpu,0.01888149499973224,16384
torch,cpu,0.018874695000704378,16384
torch,cpu,0.018932225999378716,16384
torch,cpu,0.018945056999655208,16384
torch,cpu,0.018881765001424355,16384
jax,cpu,0.0006185080001159804,16384
jax,cpu,0.0006226479999895673,16384
jax,cpu,0.0005287370004225522,16384
jax,cpu,0.000507416998516419,16384
jax,cpu,0.00048133599921129644,16384
jax,cpu,0.0005361660005291924,16384
jax,cpu,0.000512866999997641,16384
jax,cpu,0.0004892859997198684,16384
jax,cpu,0.0005063559983682353,16384
numba,cpu,0.0007019780005066423,65536
numba,cpu,0.0006868379987281514,65536
numba,cpu,0.0006872190006106393,65536
numba,cpu,0.0006850779991509626,65536
numba,cpu,0.000679319000482792,65536
numba,cpu,0.0006852080005046446,65536
numba,cpu,0.0006862990012450609,65536
numba,cpu,0.0006852980004623532,65536
numba,cpu,0.0006840589994681068,65536
taichi,cpu,0.009999025000070105,65536
taichi,cpu,0.008362824000869296,65536
taichi,cpu,0.010633292000420624,65536
taichi,cpu,0.009829082000578637,65536
taichi,cpu,0.008352394001121866,65536
taichi,cpu,0.00851678599974548,65536
taichi,cpu,0.00879451900073036,65536
taichi,cpu,0.008612347999587655,65536
taichi,cpu,0.008746059000259265,65536
warp,cpu,0.017610400000194204,65536
warp,cpu,0.017491768001491437,65536
warp,cpu,0.0172643549994973,65536
warp,cpu,0.017288115001065307,65536
warp,cpu,0.01728290600112814,65536
warp,cpu,0.01728167500004929,65536
warp,cpu,0.0173092959994392,65536
warp,cpu,0.017420127000150387,65536
warp,cpu,0.017485518001194578,65536
torch,cpu,0.06023323999943386,65536
torch,cpu,0.060323752000840614,65536
torch,cpu,0.059814764999828185,65536
torch,cpu,0.0601291390012193,65536
torch,cpu,0.06071320699993521,65536
torch,cpu,0.06009794900091947,65536
torch,cpu,0.061238153000886086,65536
torch,cpu,0.0600344579997909,65536
torch,cpu,0.06000907799898414,65536
jax,cpu,0.001265855999008636,65536
jax,cpu,0.0011674239995045355,65536
jax,cpu,0.0010695529999793507,65536
jax,cpu,0.0012167250006314134,65536
jax,cpu,0.0012290160011616535,65536
jax,cpu,0.0010646130012901267,65536
jax,cpu,0.001349717000266537,65536
jax,cpu,0.0011791850010922644,65536
jax,cpu,0.00107173299875285,65536
numba,cpu,0.002600051999252173,262144
numba,cpu,0.002599543000542326,262144
numba,cpu,0.0025935720004781615,262144
numba,cpu,0.0025950130002456717,262144
numba,cpu,0.002584742000180995,262144
numba,cpu,0.0026838430003408575,262144
numba,cpu,0.002582881999842357,262144
numba,cpu,0.0025821220006037038,262144
numba,cpu,0.002634583001054125,262144
taichi,cpu,0.03160732400101551,262144
taichi,cpu,0.030968525999924168,262144
taichi,cpu,0.03123333900111902,262144
taichi,cpu,0.0337955110007897,262144
taichi,cpu,0.03587761699964176,262144
taichi,cpu,0.03235137299998314,262144
taichi,cpu,0.0327539780009829,262144
taichi,cpu,0.033603358000618755,262144
taichi,cpu,0.032637786000123015,262144
warp,cpu,0.06813784799851419,262144
warp,cpu,0.06786898599966662,262144
warp,cpu,0.06787397500011139,262144
warp,cpu,0.06812654899840709,262144
warp,cpu,0.06798047699885501,262144
